idx,question,promql
1,"Based on data from the past hour, calculate the 90th percentile request duration from the auth service to the TS database.","'histogram_quantile(0.9, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-auth-service"", connection_type=""database"", server=""ts""}[1h]))'"
2,Show the packet loss ratio for received packets for all pods of the ts-order-service in the past 1 hour.,"'(rate(container_network_receive_packets_dropped_total{pod=~""ts-order-service-5cffbb94fd-.*""}[1h]) / rate(container_network_receive_packets_total{pod=~""ts-order-service-5cffbb94fd-.*""}[1h])) * 100'"
3, How many times was the payment creation API called in the past day?,"'increase(traces_spanmetrics_calls_total{span_name=""POST /api/v1/paymentservice/payment""}[1d])'"
4,Show the number of memory allocation failures for all pods of services called by the ts-execute-service in the last 30 minutes.,"'sum by (pod) (increase(container_memory_failures_total{pod=~""ts-order-service-5cffbb94fd-.*|ts-order-other-service-599787b58b-.*""}[30m]))'"
5,"In the last 30 minutes, which pod among all pods of the ts-auth-service service on the node k8s-node2 had the highest error ratio in transmit packets?","'topk(1, rate(container_network_transmit_errors_total{node=""k8s-node2"", pod=~""ts-auth-service-6f695b66dc-.*""}[30m]) / rate(container_network_transmit_packets_total{node=""k8s-node2"", pod=~""ts-auth-service-6f695b66dc-.*""}[30m]))'"
6,"Calculate the per-second call count for the APIs of the auth service, based on the last two samples within a 1-minute time window.","'irate(traces_spanmetrics_calls_total{service=""ts-auth-service"", span_name=~""DELETE /api/v1/users/{userId}|POST /api/v1/auth|POST /api/v1/users/login""}[1m])'"
7,"How many processes are currently blocked waiting for I/O to complete on the nodes hosting the tsdb-mysql service, and what is the ratio of this number to the number of processes in a runnable state on the same nodes?","'node_procs_blocked{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""} / node_procs_running{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""}'"
8,"Among k8s-node1, k8s-node2, and k8s-node3, which currently has the highest amount of inactive anonymous memory?","'topk(1, node_memory_Inactive_anon_bytes{instance=~""10.176.122.151:9100|10.176.122.152:9100|10.176.122.153:9100""})'"
9,How many packets have been dropped while being received by all pods of the coredns deployment on node k8s-node2 in the last 4 hours?,"'increase(container_network_receive_packets_dropped_total{pod=~""coredns-558bd4d5db-.*"", node=""k8s-node2""}[4h])'"
10,What are the downstream APIs for the PUT /api/v1/admintravelservice/admintravel API? Show the total number of calls to these downstream APIs over the past 30 minutes.,"'increase(traces_spanmetrics_calls_total{span_name=~""GET /api/v1/routeservice/routes/{routeId}|GET /api/v1/trainservice/trains/byName/{name}|POST /api/v1/stationservice/stations/idlist|PUT /api/v1/travelservice/trips""}[30m])'"
11,"Calculate the 95th percentile latency for the inside payment service APIs over the last 60 minutes, display only results for non-internal spans, and only keep spans whose average latency over the last hour is greater than or equal to 0.01.","'histogram_quantile(0.95, rate(traces_spanmetrics_latency_bucket{service=""ts-inside-payment-service"", span_kind!=""SPAN_KIND_INTERNAL""}[60m]))\nand\nrate(traces_spanmetrics_latency_sum{service=""ts-inside-payment-service""}[1h]) / rate(traces_spanmetrics_latency_count{service=""ts-inside-payment-service""}[1h]) >= 0.01'"
12,Show the current memory usage of all containers for the consign price service on the node k8s-node2.,"'container_memory_usage_bytes{node=""k8s-node2"", pod=~""ts-consign-price-service-756469f8f9.*""}'"
13,"Calculate the 90th percentile of request durations from the rebooking service to the seating service, from the client's perspective, based on data from the past day.","'histogram_quantile(0.9, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-rebook-service"", server=""ts-seat-service""}[1d]))'"
14,What is the current number of TCP sockets in the mem state on nodes hosting the seat service?,"'node_sockstat_TCP_mem{instance=~""10.176.122.151:9100|10.176.122.153:9100""}'"
15,How many times has the API GET /api/v1/verifycode/generate been called in the past day?,"'increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/verifycode/generate""}[1d])'"
16,"In the last 30 minutes, in the obs namespace, which pod on node k8s-node5 had the highest total number of memory allocation failures?","'topk(1, sum by(pod) (increase(container_memory_failures_total{node=""k8s-node5"", namespace=""obs""}[30m])))'"
17,What is the increase in the per-second rate of spans recorded by the auth service over the past five minutes compared to the same metric one day ago?,"'rate(traces_spanmetrics_calls_total{service=""ts-auth-service""}[5m]) - rate(traces_spanmetrics_calls_total{service=""ts-auth-service""}[5m] offset 1d)'"
18,What is the difference in the total bytes read from the disk for the dm-0 device on nodes hosting the news service in the last 5 minutes compared to the same period one day ago?,"'rate(node_disk_read_bytes_total{instance=~""10.176.122.151:9100|10.176.122.154:9100"", device=""dm-0""}[5m]) - rate(node_disk_read_bytes_total{instance=~""10.176.122.151:9100|10.176.122.154:9100"", device=""dm-0""}[5m] offset 1d)'"
19,"Calculate the 95th percentile of request duration (from the client's perspective) to the service which manages other order over the last 60 minutes, and only keep results whose average request duration over the last hour is greater than or equal to 0.01.","'histogram_quantile(0.95, rate(traces_service_graph_request_client_seconds_bucket{server=""ts-order-other-service""}[60m]))\nand\nrate(traces_service_graph_request_client_seconds_sum{server=""ts-order-other-service""}[1h]) / rate(traces_service_graph_request_client_seconds_count{server=""ts-order-other-service""}[1h]) >= 0.01'"
20,Check whether the network receiving packet drop rate or network transmitting packet drop rate of the containers responsible for the admin travel management service on the k8s-node4 node exceed 1% in the past 60 minutes.,"'rate(container_network_receive_packets_dropped_total{node=""k8s-node4"", pod=~""ts-admin-travel-service-.*""}[1h]) / rate(container_network_receive_packets_total{node=""k8s-node4""}[1h]) > 0.01\nor\nrate(container_network_transmit_packets_dropped_total{node=""k8s-node4"", pod=~""ts-admin-travel-service-.*""}[1h]) / rate(container_network_transmit_packets_total{node=""k8s-node4""}[1h]) > 0.01'"
21,What is the total number of logical CPU cores for the nodes hosting the admin basic info service?,"'sum(machine_cpu_cores{node=~""k8s-node1|k8s-node4""})'"
22,"Using the past hour's memory cache data, predict the page cache memory usage in bytes for the slowlog container of the tsdb-mysql service on k8s-node4 over the next 30 minutes using a linear model.","'predict_linear(container_memory_cache{node=""k8s-node4"", container=""slowlog"", pod=~""tsdb-mysql-.*""}[1h], 1800)'"
23,What is the total number of network receive errors encountered by all pods of the tempo statefulset on node k8s-node1 over the past 24 hours?,"'increase(container_network_receive_errors_total{pod=""tempo-0"", node=""k8s-node1""}[24h])'"
24,How many replicas are available for each StatefulSet in the default namespace?,"'sum(kube_statefulset_status_replicas_available{namespace=""default""}) by (statefulset)'"
25,Show the maximum memory usage for all containers of the gateway service deployed on k8s-node2 and k8s-node5.,"'container_memory_max_usage_bytes{pod=~""ts-gateway-service-6f99b4b794-.*"", node=~""k8s-node2|k8s-node5""}'"
26,"On the node k8s-node2, which three Pods have the highest packet loss rates for received packets in the last 5 minutes? Please ensure the query focuses on data from the eth0 interface and the obs namespace.","'topk(3, rate(container_network_receive_packets_dropped_total{node=""k8s-node2"", interface=""eth0"", namespace=""obs""}[5m]) / rate(container_network_receive_packets_total{node=""k8s-node2"", interface=""eth0"", namespace=""obs""}[5m]))'"
27,"Based on the last hour's data, perform a linear prediction of the memory usage in bytes for the Tempo container on k8s-node1 over the next 15 minutes.","'predict_linear(container_memory_usage_bytes{container=""tempo"", node=""k8s-node1""}[1h], 900)'"
28,"Identify the top 5 containers on node k8s-node1 in the obs namespace that hit the most memory usage limits in the past hour, and report their total number of hits.","'topk(5, increase(container_memory_failcnt{node=""k8s-node1"", namespace=""obs""}[1h]))'"
29,"In the past three minutes, what is the per-second call rate for the GET /api/v1/orderservice/order API?","'rate(traces_spanmetrics_calls_total{span_name=""GET /api/v1/orderservice/order""}[3m])'"
30,Calculate the average latency for the API used to update station information over the past 30 minutes.,"'rate(traces_spanmetrics_latency_sum{span_name=""PUT /api/v1/stationservice/stations""}[30m]) / rate(traces_spanmetrics_latency_count{span_name=""PUT /api/v1/stationservice/stations""}[30m])'"
31,Check the current ratio of TCP sockets in the 'tw' state to those in the 'alloc' state for all nodes running the execute service. Subtract the ratio from the same time one day ago from the current ratio to determine the change.,"'(node_sockstat_TCP_tw{instance=~""10.176.122.151:9100|10.176.122.162:9100""} / node_sockstat_TCP_alloc{instance=~""10.176.122.151:9100|10.176.122.162:9100""}) \n-\n(node_sockstat_TCP_tw{instance=~""10.176.122.151:9100|10.176.122.162:9100""} offset 1d / node_sockstat_TCP_alloc{instance=~""10.176.122.151:9100|10.176.122.162:9100""} offset 1d)'"
32,Shows the CPU usage of the pods for the admin user service deployed on node k8s-node2 over the last 5 minutes.,"'rate(container_cpu_usage_seconds_total{node=""k8s-node2"", pod=~""ts-admin-user-service-7d94ff5bc6.*""}[5m])'"
33,How many physical CPU cores do the nodes hosting the seat service have in total?,"'sum(machine_cpu_physical_cores{node=~""k8s-node1|k8s-node3""})'"
34,"Display the average latency of the auth service's login check API, with the interval of 1-minute.","'rate(traces_spanmetrics_latency_sum{service=""ts-auth-service"", span_name=""POST /api/v1/users/login""}[1m]) / rate(traces_spanmetrics_latency_count{service=""ts-auth-service"", span_name=""POST /api/v1/users/login""}[1m])'"
35,What is the total number of transmission errors for all pods of the assurance service on node k8s-node2 in the last 5 minutes?,"'increase(container_network_transmit_errors_total{pod=~""ts-assurance-service-75857d4f45-.*"", node=""k8s-node2""}[5m])'"
36,"What is the per-second rate of process forks on the nodes hosting coredns deployment pods, calculated using the last two data points over the past 5 minutes?","'irate(node_forks_total{instance=~""10.176.122.152:9100|10.176.122.161:9100""}[5m])'"
37,How much time did all containers of the delivery service on node k8s-node1 spend writing to the filesystem in the past hour?,"'increase(container_fs_write_seconds_total{container=""ts-delivery-service"", node=""k8s-node1""}[1h])'"
38,What is the total number of block IO device bytes that containers in the gateway service have used on the /dev/sda device for read operations in the past 10 minutes?,"'sum(increase(container_blkio_device_usage_total{container=""ts-gateway-service"", device=""/dev/sda"", operation=""Read""}[10m]))'"
39,How many packets have all pods of the gateway service on nodes k8s-node2 and k8s-node5 dropped while receiving in the last 2 days?,"'increase(container_network_receive_packets_dropped_total{pod=~""ts-gateway-service-6f99b4b794-.*"", node=~""k8s-node2|k8s-node5""}[2d])'"
