idx,question,promql
h001,Which pod had the highest CPU usage time in node k8s-node1 over the past 10 minutes? Identify it and show its CPU usage time.,"topk(1, sum(increase(container_cpu_usage_seconds_total{node=""k8s-node1""}[10m])) by (pod))"
h002,I need the memory usage of each pod for the service which manages order deployed on node k8s-node2.,"sum(container_memory_usage_bytes{node=""k8s-node2"",pod=~""ts-order-service-.*""}) by (pod)"
h003,How many times in total did all the pods of the service allocating seats and querying tickets restart over the past day?,"sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-seat-service-.*""}[1d]))"
h004,Which container on k8s-node2 had the most memory allocation failures in the past 30 minutes?,"topk(1, increase(container_memory_failures_total{node=""k8s-node2""}[30m]))"
h005,"In the past hour, how many bytes had been transmitted by pods for the service which manages station information on node k8s-node3 ?","sum(increase(container_network_transmit_bytes_total{pod=~""ts-station-service-.*""}[1h]))"
h006,Show the CPU time used by the pods of all the services that were called by service manageing security config files in the last 1 hour.,"sum(increase(container_cpu_usage_seconds_total{pod=~""ts-order-service-.*|ts-order-other-service-.*""}[1h])) by (pod)"
h007,How many seconds did containers for the service about news on k8s-node1 spend on I/O in the past hour?,"increase(container_fs_io_time_seconds_total{node=""k8s-node1"",pod=~""ts-news-service-.*""}[1h])"
h008,Show the number of processes running inside each pod for the service that manages train's trip on k8s-node4.,"sum(container_processes{pod=~""ts-travel-service-.*"",node=""k8s-node4""}) by (pod)"
h009,"Based on the data from the past 4 hours, predict whether the memory on the 5th node of k8s cluster will be fully occupied in 4 hours.","predict_linear(node_memory_MemFree_bytes{instance=""10.176.122.162:9100""}[4h], 4 * 3600) < 0"
h010,Get the number of success ssh tunnel open attempt on node k8s-master during the past 24 hours.,"increase(ssh_tunnel_open_count{instance=~""10.176.122.154:.*""}[1h]) - increase(ssh_tunnel_open_fail_count[1h])"
h011,How many logical CPU cores does the nodes hosting the user service have?,"machine_cpu_cores - on(node) sum(container_cpu_usage_seconds_total{pod=~""ts-user-service-.*""} * 0) by (node)"
h012,I need the number of calls for each API of the train seat service in the past 24 hours.,"increase(traces_spanmetrics_calls_total{service=""ts-seat-service""}[1d])"
h013,Show me how many times any config entity was queried by the configName during the past 2 hours.,"increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/configservice/configs/{configName}""}[2h])"
h014,Display the 90th percentile latency over last 5 minutes of the API which gets ticket list by date and trip id.,"histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/orderservice/order/tickets""}[5m]))"
h015,Get the p95 latency for APIs that are related to basic travel information over the past week.,"histogram_quantile(0.95, rate(traces_spanmetrics_latency_bucket{service=""ts-basic-service""}[1w]))"
